Partners,Year 2008,Year 2009,Year 2010,Year 2011,Year 2012,Year 2013,Year 2014,Year 2015,Year 2016,Year 2017
Afghanistan,151627,213366,175265,230010,464034,328259,393559,361820,430653,541094
Pakistan,6051066,5515074,6937792,8439729,9276492,11019596,13244482,16441888,17232654,18309555
Timor-Leste,9426,23260,42832,70433,62474,47386,60342,104530,164273,132924
Philippines,9132231,8584708,11540277,14255388,16732210,19868125,23473577,26670791,29836567,32117391
Kazakhstan,9824510,7748172,9320401,9566530,11001238,12545124,12709849,8441241,8292321,11632542
Kyrgyzstan,9212050,5227522,4127513,4878289,5073516,5075346,5242520,4282123,5605426,5371401
Cambodia,1095543,907061,1347342,2314810,2708103,3409507,3274738,3763391,3928685,4795209
Lao People's Democratic Republic,268114,376650,483623,476255,937094,1722577,1839475,1225758,986967,1420409
Maldives,31554,40662,63476,97122,76488,97414,103990,172648,320702,297550
Malaysia,21455169,19631939,23802061,27886048,36525700,45930593,46353388,43980387,37660167,41999160
Mongolia,907828,1057931,1449762,2731758,2653509,2449592,2216382,1570701,988539,1261249
Bangladesh,4556074,4441067,6789097,7810658,7970093,9705087,11782272,13894708,14300635,15202749
Myanmar,1977766,2261243,3475524,4821497,5673756,7338689,9367647,9650911,8187651,9025273
Nepal,375612,408889,731257,1181226,1968162,2210887,2283579,832705,866127,971085
Sri Lanka,1630094,1569465,1994848,2988724,3001305,3436549,3792797,4304045,4286880,4096695
Tajikistan,1479683,1217574,1376501,1996778,1747870,1869364,2468236,1795388,1725084,1323547
Thailand,15636354,13307098,19741222,25694604,31196768,32717904,34289228,38290804,37182731,38780758
Turkmenistan,801936,915699,525117,784360,1699117,1137644,954282,815469,338479,369050
Brunei Darussalam,130543,140455,367609,744394,1252438,1703776,1746815,1407409,510852,653107
Uzbekistan,1277814,1560539,1181024,1359242,1783339,2613355,2678214,2228761,2007464,2763952
Singapore,32305805,30066363,32347238,35570137,40750209,45831865,48911175,51942440,44495953,45668183
India,31585381,29666560,40913958,50536416,47677452,48432411,54217422,58228027,58397761,67925121
Indonesia,17193114,14720624,21953565,29220944,34285244,36930490,39059606,34341965,32117495,34805909
Viet Nam,15122133,16300914,23101556,29091568,34212587,48586298,63730014,66017020,61094097,72117144
United Arab Emirates,23643690,18632296,21235461,26812848,29568343,33411295,39034507,37020164,30066956,28842011
Oman,794515,747451,944497,998177,1811576,1900844,2065381,2116393,2147698,2325082
Egypt,5874260,5107359,6040984,7283233,8223921,8362675,10460510,11958577,10436256,9512991
"Palestine, State of",40780,23624,26008,47815,40725,90677,75507,69245,59308,69361
Bahrain,655077,475314,799503,880012,1202782,1238929,1231782,1011846,790491,904233
Qatar,1074164,872411,855444,1198757,1205100,1710908,2254011,2275641,1515659,1683515
Kuwait,1751301,1542683,1848592,2128415,2089319,2675509,3428725,3772671,3000887,3115497
Lebanon,1083449,1056822,1319453,1458393,1691955,2490831,2604861,2285530,2100338,2021808
Saudi Arabia,10823468,8977852,10366445,14849707,18452901,18739814,20575242,21612928,18650907,18320971
Turkey,10606312,8333535,11942037,15613705,15585293,17746991,19305458,18607841,16686641,18143520
Syrian Arab Republic,2293355,2210406,2442972,2420241,1190229,690152,984371,1022573,915257,1104989
Armenia,69212,87415,117130,135723,113204,119850,122809,112400,111083,141175
Yemen,1184584,1168419,1223859,1104281,1955099,2138817,2201314,1429968,1692345,1645825
Iraq,1271162,1838449,3589867,3824651,4911785,6894088,7743841,7909229,7547858,8348527
"Iran, Islamic Republic of",8163428,7918687,11092188,14761999,11598799,14036645,24338486,17770107,16417273,18642027
Israel,4257002,3652651,5037050,6740798,6988137,7645304,7739106,8615949,8174293,8949589
Jordan,1826131,1965980,1888900,2512724,2958958,3434555,3364531,3424403,2954400,2811456
Albania,196106,207862,199278,281483,343905,324596,378270,430191,506540,453691
Azerbaijan,686098,553289,846157,892619,1069827,868568,645253,439145,345883,387613
Estonia,588130,362296,676738,1130855,1233666,1109820,1146098,953288,963644,991172
Belarus,361363,280421,795610,705135,919817,872160,1110594,748901,1090019,933513
Bulgaria,1124845,596052,660906,1005616,1054597,1116984,1178062,1043259,1055553,1166945
Bosnia and Herzegovina,72830,35658,37589,41435,46712,91328,283984,59978,64027,78483
Poland,9040368,7561768,9438307,10939549,12386657,12574875,14256799,14344872,15094067,17916691
Russian Federation,33075850,17513771,29612074,38903018,44056551,49591172,53676944,34756877,37339601,43149783
Georgia,292886,191958,274932,761069,740330,862092,908676,768675,745244,915538
Montenegro,86595,76823,71083,89982,145761,86383,157066,134147,108328,132497
Czech Republic,5497483,5023772,7121516,7669407,6323551,6837795,7992899,8226132,8058524,8781492
Croatia,1741988,1118522,1343731,1540930,1299886,1389943,1027325,985562,1016753,1155688
Latvia,848980,452299,794160,1192947,1312709,1374267,1316699,1022506,1062374,1145469
Lithuania,1059978,655714,982341,1335101,1630885,1686178,1658291,1210903,1290939,1596468
Romania,2889920,2377288,3004462,3453775,2797186,2822537,3223178,3162240,3447669,3776979
"Macedonia, The Former Yugoslav Republic of",70721,56010,52783,91811,88750,63476,76664,86532,90047,77716
"Moldova, Republic of",71268,72571,80523,97491,123942,112629,115205,99955,76628,97899
Serbia,492520,308321,345016,396353,412876,431912,424563,415097,431663,545872
Slovakia,1966040,1399015,1958477,2512600,2423050,3084437,2828496,2794468,2861362,2727123
Slovenia,964206,770101,1385669,1675371,1566641,1832812,1991942,2091735,2269427,2889919
Ukraine,7566283,3603782,5563831,7147075,7324649,7849225,5106229,3515713,4216953,5040557
Hungary,6096852,5343601,6518314,6806022,5737960,5692280,5764166,5197452,5422688,6042580
